日期,星期,开始时间,结束时间,内容,分类,地点
2026-04-04,周六,17:00,19:00,计算机（网课）,辅导课程,线上
2026-04-05,周日,13:00,15:00,化学,辅导课程,线上
2026-04-05,周日,15:00,17:00,刷题研习,辅导课程,线上
2026-04-06,周一,08:30,09:45,S1,EOY模拟考,线上
2026-04-06,周一,13:00,15:00,刷题研习,辅导课程,线上
2026-04-06,周一,15:00,17:00,数学,辅导课程,线上
2026-04-06,周一,17:00,19:00,计算机,辅导课程,线上
2026-04-07,周二,09:00,10:00,EFL paper1,EOY模拟考,线上
2026-04-07,周二,15:00,16:15,Chem paper4,EOY模拟考,线上
2026-04-08,周三,09:00,10:50,P1,EOY模拟考,线上
2026-04-08,周三,13:00,15:15,Eco paper2,EOY模拟考,线上
2026-04-09,周四,09:00,10:15,Phy paper4,EOY模拟考,线上
2026-04-09,周四,13:00,14:45,CS paper1,EOY模拟考,线上
2026-04-10,周五,09:00,10:00,EFL paper2,EOY模拟考,线上
2026-04-10,周五,13:00,15:00,物理,辅导课程,线上
2026-04-10,周五,15:00,16:00,刷题研习,辅导课程,线上
2026-04-10,周五,16:00,18:00,计算机,辅导课程,线上
2026-04-11,周六,17:00,19:00,计算机（网课）,辅导课程,线上
2026-04-12,周日,13:00,15:00,化学,辅导课程,线上
2026-04-12,周日,15:00,17:00,刷题研习,辅导课程,线上
2026-04-13,周一,10:00,12:00,物理,辅导课程,线上
2026-04-13,周一,13:00,15:00,刷题研习,辅导课程,线上
2026-04-13,周一,15:00,17:00,数学,辅导课程,线上
2026-04-14,周二,09:00,10:00,Chem paper6,EOY模拟考,线上
2026-04-14,周二,13:00,14:00,Phy paper6,EOY模拟考,线上
2026-04-15,周三,13:00,13:45,Eco paper1,EOY模拟考,线上
2026-04-15,周三,14:15,16:00,CS paper2,EOY模拟考,线上
2026-04-16,周四,13:00,13:45,Phy paper2,EOY模拟考,线上
2026-04-17,周五,09:00,10:15,Chem paper2,EOY模拟考,线上
2026-04-17,周五,13:00,15:00,物理,辅导课程,线上
2026-04-17,周五,15:00,16:00,刷题研习,辅导课程,线上
2026-04-17,周五,16:00,18:00,计算机,辅导课程,线上
2026-04-18,周六,17:00,19:00,计算机（网课）,辅导课程,线上
2026-04-19,周日,13:00,15:00,化学,辅导课程,线上
2026-04-19,周日,15:00,17:00,刷题研习,辅导课程,线上
2026-04-25,周六,17:00,19:00,计算机（网课）,辅导课程,线上
2026-04-26,周日,13:00,15:00,化学,辅导课程,线上
2026-04-26,周日,15:00,17:00,刷题研习,辅导课程,线上
2026-04-28,周二,13:00,14:15,IG化学 42,IG考试,线上
2026-04-29,周三,09:00,10:50,IG数学 P1,IG考试,线上
2026-05-02,周六,17:00,19:00,计算机（网课）,辅导课程,线上
2026-05-04,周一,10:00,12:00,物理,辅导课程,线上
2026-05-04,周一,13:00,15:00,刷题研习,辅导课程,线上
2026-05-04,周一,15:00,17:00,数学,辅导课程,线上
2026-05-07,周四,13:00,14:00,IG化学 62,IG考试,线上
2026-05-08,周五,13:00,14:15,IG物理 42,IG考试,线上
2026-05-09,周六,17:00,19:00,计算机（网课）,辅导课程,线上
2026-05-12,周二,09:00,10:15,IG数学 S1,IG考试,线上
2026-05-13,周三,13:00,14:45,IG计算机 12,IG考试,线上
2026-05-19,周二,13:00,14:00,IG物理 62,IG考试,线上
2026-05-20,周三,13:00,14:45,IG计算机 22,IG考试,线上
2026-05-22,周五,13:00,15:15,IG经济 22,IG考试,线上
2026-06-03,周三,13:00,13:45,IG物理 22,IG考试,线上
2026-06-05,周五,13:00,13:45,IG经济 12,IG考试,线上
2026-06-09,周二,13:00,13:45,IG化学 22,IG考试,线上
